Infinitiv;Partizip II;TraducciÃ³
anfangen;angefangen;empezar
anrufen;angerufen;llamar por telefono
antworten;geantworten;contestar
arbeiten;gearbeitet;trabajar
aufhoren;aufgehÃ¶r;terminar
aufmachen;aufgemacht;abrir
aufrÃ¤ume;aufgerÃ¤um;ordenar
aufstehen;aufgestanden;levantarse
ausgeben;ausgegeben;gastar dinero
aussehen;ausgesehen;parecer
baden;gebadet;baÃ±a
bauen;gebaut;construir
beantworten;beantwortet;responder
bedeuten;debeutet;significar
bekommen;bekommen;to get
beschreiben;beschrieben;describir
bestellen;bestellt;pedir
besuchen;beshut;visitar
bezahlen;bezahlt;pagar
bleiben;geblieben;quedarse
brauchen;gebraucht;necesitar
bringen;gebracht;traer
diskutieren;diskutiert;discutir
duschen;geduscht;ducharse
einkaufen;eingekauft;hacer la compra
einladen;eingeladen;invitar
einschlafen;eingeschlafen;dormirse
entscheiden;entschieden;decidir
erzahlen;erzÃ¤hl;narrar
essen;gegessen;comer
fahren;gefahren;conducir
feieren;gefeiert;celebrar
fernsehen;ferngesehen;ver TV
finden;gefunden;encontrar
fotografieren;fotografiert;sacar fotos
fragen;gefragt;preguntar
frÃ¼hstÃ¼ck;grfrÃ¼hstÃ¼c;desayunar
denken;gedacht;pensar
lachen;gelacht;reir
üben;geÃ¼b;practicar
buchstabieren;buchstabiert;deletrear
erhalten;erhalten;recibir
erklÃ¤re;erklÃ¤r;explicar
gebÃ¤re;geboren;nacer
gelten;gegolten;tener validez
halten;gehalten;conservar
lassen;gelassen;dejar
laufen;gelaufen;correr
mÃ¶ge;gemocht;preferir
werden;geworden;ponerse
zeigen;gezeitgt;mostrar
singen;gesungen;cantar
backen;gebacken;hornear
funktionieren;funktionert;funcionar
geben;gegeben;dar dinero
gehen;gegangen;caminar
glauben;geglaubt;creer
gucken;gecuckt;mirar
haben;gehabt;tener
heiÎ²e;geheiÎ²e;llamar
helfen;geholfen;ayudar
herstellen;hergestellt;fabricar
holen;geholt;recoger
hÃ¶re;gehÃ¶r;oir
informieren;informiert;informar
kaufen;gekauft;comprar
kennen;gekannt;conocer
klingeln;geklingelt;hacer sonar
kochen;gekocht;cocinar
kommen;gekommen;venir
kontrolieren;kontrolliert;controlar
korrigieren;korrigiert;corregir
kosten;gekostet;costar
leben;gelebt;vivir
leihen;geliehen;prestar
lernen;gelernt;aprender
lesen;gelesen;leer
liegen;gelegen;estar acostado
machen;gemacht;hacer
meinen;gemeint;opinar
messen;gemessen;medir
mitbringen;mitgebracht;llevar consigo
nehmen;genommen;agarrar
paÎ²e;gepaÎ²;encajar
passieren;passiert;suceder
rauchen;geraucht;fumar
sagen;gesagt;decir
sahauen;geschaut;mirar
schlafen;geschlafen;dormir
schmecken;geschmeckt;saber
schneiden;geschnitten;cortar
schreiben;geschrieben;escribir
schwimmen;geschwommen;nadar
sehen;gesehen;ver
sein;gewesen;to be
spazieren gehen;spazieren gegangen;pasear
spielen;gespielt;jugar
sprechen;gesprochen;hablar
spÃ¼le;gespÃ¼l;fregar
stattfinden;stattgefunden;tener lugar
stehen;gestanden;estar de pie
stimmen;gestimmt;ser correcto
stÃ¶re;gestÃ¶r;molestar
studieren;studiert;estudiar
suchen;gesucht;buscar
tanzen;getanzt;bailar
telefonieren;telefoniert;llamar por telefono
treffen;getroffen;reunirse
trinken;getrunken;beber
tun;getan;to do
umziehen;umgezogen;mudarse
verbieten;verboten;prohibir
verdienen;verdient;ganar dinero
vergessen;vergessen;olvidar
vergleichen;vergliechen;comparar
verkaufen;verkauft;vender
verstehen;verstanden;entender
vorbereiten;vorbereitet;preparar
vorhaben;vorgehabt;planear
warten;gewartet;esperar
waschen;gewaschen;lavar
weitersuchen;weitergesucht;seguir buscando
wissen;gewuÎ²;saber
wohnen;gewhont;residir
zeichen;gezeichnet;dibujar
zuhÃ¶re;zugehÃ¶r;escuchar
